,tweet_id,date,time,lang,country_code
205,1356105434524839941,2021-02-01,05:01:45,en,
206,1356105435569393669,2021-02-01,05:01:45,en,
207,1356105435707654144,2021-02-01,05:01:45,en,
208,1356105435804270592,2021-02-01,05:01:45,en,
210,1356105438283124739,2021-02-01,05:01:46,en,
211,1356105440778567680,2021-02-01,05:01:46,en,
212,1356105441067974657,2021-02-01,05:01:47,en,
213,1356105441122656256,2021-02-01,05:01:47,en,
214,1356105441571266560,2021-02-01,05:01:47,en,
216,1356105443827998721,2021-02-01,05:01:47,en,
218,1356105444754911234,2021-02-01,05:01:47,en,
220,1356105453361627137,2021-02-01,05:01:49,en,
221,1356105454036770816,2021-02-01,05:01:50,en,
223,1356105455181959168,2021-02-01,05:01:50,en,
227,1356105459883769857,2021-02-01,05:01:51,en,
229,1356105464770035713,2021-02-01,05:01:52,en,
231,1356105468075155459,2021-02-01,05:01:53,en,
232,1356105469815885824,2021-02-01,05:01:53,en,
233,1356105469866115072,2021-02-01,05:01:53,en,
234,1356105470231121920,2021-02-01,05:01:53,en,
235,1356105470247890945,2021-02-01,05:01:53,en,
237,1356105471904649218,2021-02-01,05:01:54,en,
239,1356105481559945216,2021-02-01,05:01:56,en,
242,1356105489151647744,2021-02-01,05:01:58,en,
244,1356105493027069958,2021-02-01,05:01:59,en,
245,1356105494704877570,2021-02-01,05:01:59,en,
246,1356105494893486080,2021-02-01,05:01:59,en,
247,1356105495514292225,2021-02-01,05:02:00,en,
250,1356105496596369410,2021-02-01,05:02:00,en,
254,1356105502263046147,2021-02-01,05:02:01,en,
256,1356105506058686464,2021-02-01,05:02:02,en,
257,1356105506381832194,2021-02-01,05:02:02,en,
258,1356105506700423169,2021-02-01,05:02:02,en,
259,1356105507409289218,2021-02-01,05:02:02,en,
260,1356105508093124609,2021-02-01,05:02:03,en,
261,1356105508231385090,2021-02-01,05:02:03,en,
263,1356105509867188224,2021-02-01,05:02:03,en,
264,1356105510391451648,2021-02-01,05:02:03,en,
265,1356105511507210242,2021-02-01,05:02:03,en,
266,1356105514325860353,2021-02-01,05:02:04,en,
267,1356105515143577602,2021-02-01,05:02:04,en,
269,1356105516997619712,2021-02-01,05:02:05,en,
275,1356105528007507969,2021-02-01,05:02:07,en,
276,1356105529123250178,2021-02-01,05:02:08,en,
277,1356105530490691589,2021-02-01,05:02:08,en,
282,1356105536098377730,2021-02-01,05:02:09,en,
283,1356105536232632322,2021-02-01,05:02:09,en,
284,1356105539445526529,2021-02-01,05:02:10,en,
287,1356105550925156352,2021-02-01,05:02:13,en,
