,tweet_id,date,time,lang,country_code
0,1344871397651140608,2021-01-01,05:01:42,en,
3,1344871400121757696,2021-01-01,05:01:42,en,
4,1344871400948051971,2021-01-01,05:01:43,en,
5,1344871401392488451,2021-01-01,05:01:43,en,
6,1344871404949430272,2021-01-01,05:01:44,en,
7,1344871405343682564,2021-01-01,05:01:44,en,
9,1344871410305527808,2021-01-01,05:01:45,en,
10,1344871410817265664,2021-01-01,05:01:45,en,
12,1344871416437596163,2021-01-01,05:01:46,en,
14,1344871416995442688,2021-01-01,05:01:46,en,
15,1344871419998560256,2021-01-01,05:01:47,en,
18,1344871422271827975,2021-01-01,05:01:48,en,
19,1344871423903485953,2021-01-01,05:01:48,en,
21,1344871424184340480,2021-01-01,05:01:48,en,AU
22,1344871424561971200,2021-01-01,05:01:48,en,
23,1344871424708718592,2021-01-01,05:01:48,en,
24,1344871425841262592,2021-01-01,05:01:49,en,
26,1344871429469310977,2021-01-01,05:01:49,en,
27,1344871429741809664,2021-01-01,05:01:50,en,
28,1344871432468058117,2021-01-01,05:01:50,en,
29,1344871433982377985,2021-01-01,05:01:51,en,
30,1344871434343112705,2021-01-01,05:01:51,en,
31,1344871434808664064,2021-01-01,05:01:51,en,
32,1344871435911766019,2021-01-01,05:01:51,en,
33,1344871436750647302,2021-01-01,05:01:51,en,
34,1344871436968628225,2021-01-01,05:01:51,en,
35,1344871437136494595,2021-01-01,05:01:51,en,
36,1344871437836947456,2021-01-01,05:01:51,en,
39,1344871442857357313,2021-01-01,05:01:53,en,
40,1344871442945609729,2021-01-01,05:01:53,en,US
42,1344871445449629696,2021-01-01,05:01:53,en,
43,1344871447311867904,2021-01-01,05:01:54,en,
46,1344871451023831040,2021-01-01,05:01:55,en,
48,1344871452453978116,2021-01-01,05:01:55,en,
49,1344871455423668224,2021-01-01,05:01:56,en,
50,1344871457751527425,2021-01-01,05:01:56,en,
52,1344871458145767435,2021-01-01,05:01:56,en,
53,1344871458317733888,2021-01-01,05:01:56,en,
54,1344871458720210945,2021-01-01,05:01:56,en,
55,1344871459861086209,2021-01-01,05:01:57,en,
56,1344871460159053829,2021-01-01,05:01:57,en,
57,1344871460758843394,2021-01-01,05:01:57,en,
59,1344871461878693888,2021-01-01,05:01:57,en,
62,1344871462704795649,2021-01-01,05:01:57,en,
63,1344871464231694336,2021-01-01,05:01:58,en,
64,1344871464340774917,2021-01-01,05:01:58,en,US
67,1344871466802835457,2021-01-01,05:01:58,en,
68,1344871466827997190,2021-01-01,05:01:58,en,
70,1344871467675095040,2021-01-01,05:01:59,en,
72,1344871467977232387,2021-01-01,05:01:59,en,
73,1344871467993997313,2021-01-01,05:01:59,en,
74,1344871468547649536,2021-01-01,05:01:59,en,
75,1344871469898231809,2021-01-01,05:01:59,en,
76,1344871471638691841,2021-01-01,05:01:59,en,
77,1344871472104235008,2021-01-01,05:02:00,en,
78,1344871472481902594,2021-01-01,05:02:00,en,
81,1344871475036172289,2021-01-01,05:02:00,en,
83,1344871476483084289,2021-01-01,05:02:01,en,
84,1344871476948701187,2021-01-01,05:02:01,en,
85,1344871477582069761,2021-01-01,05:02:01,en,
86,1344871477598797826,2021-01-01,05:02:01,en,
87,1344871480073609217,2021-01-01,05:02:02,en,
90,1344871480857948160,2021-01-01,05:02:02,en,
91,1344871482330148865,2021-01-01,05:02:02,en,
92,1344871482506305538,2021-01-01,05:02:02,en,
93,1344871484444078081,2021-01-01,05:02:03,en,
94,1344871486071443457,2021-01-01,05:02:03,en,
95,1344871487828738048,2021-01-01,05:02:03,en,
96,1344871488432861184,2021-01-01,05:02:04,en,
97,1344871490303520771,2021-01-01,05:02:04,en,
98,1344871490446098432,2021-01-01,05:02:04,en,
99,1344871490920079360,2021-01-01,05:02:04,en,
101,1344871492891369472,2021-01-01,05:02:05,en,
102,1344871494338441216,2021-01-01,05:02:05,en,
103,1344871496531918849,2021-01-01,05:02:05,en,
104,1344871496972382208,2021-01-01,05:02:06,en,
105,1344871497169575936,2021-01-01,05:02:06,en,
106,1344871498763399169,2021-01-01,05:02:06,en,
108,1344871503666573312,2021-01-01,05:02:07,en,
109,1344871504627032064,2021-01-01,05:02:07,en,
110,1344871504819986434,2021-01-01,05:02:07,en,
115,1344871509010083847,2021-01-01,05:02:08,en,
116,1344871511811887104,2021-01-01,05:02:09,en,
117,1344871512063533056,2021-01-01,05:02:09,en,
118,1344871514575876096,2021-01-01,05:02:10,en,
119,1344871514731110401,2021-01-01,05:02:10,en,
120,1344871515917959168,2021-01-01,05:02:10,en,
121,1344871517201469440,2021-01-01,05:02:10,en,
122,1344871518514401280,2021-01-01,05:02:11,en,
123,1344871520275988483,2021-01-01,05:02:11,en,
124,1344871522356387843,2021-01-01,05:02:12,en,
125,1344871522436046854,2021-01-01,05:02:12,en,
127,1344871523765678080,2021-01-01,05:02:12,en,
128,1344871528773677058,2021-01-01,05:02:13,en,
129,1344871529465536512,2021-01-01,05:02:13,en,
132,1344871537837563905,2021-01-01,05:02:15,en,
133,1344871538424762374,2021-01-01,05:02:15,en,
134,1344871538898604032,2021-01-01,05:02:16,en,
135,1344871539360079874,2021-01-01,05:02:16,en,
136,1344871541482217473,2021-01-01,05:02:16,en,
137,1344871543273181185,2021-01-01,05:02:17,en,
138,1344871543558402049,2021-01-01,05:02:17,en,
140,1344871545362128896,2021-01-01,05:02:17,en,
141,1344871550307106823,2021-01-01,05:02:18,en,
143,1344871551238242304,2021-01-01,05:02:18,en,
144,1344871551636807683,2021-01-01,05:02:19,en,
145,1344871552173699077,2021-01-01,05:02:19,en,
146,1344871552509222913,2021-01-01,05:02:19,en,
148,1344871557332672513,2021-01-01,05:02:20,en,
149,1344871557362036736,2021-01-01,05:02:20,en,
150,1344871559215792132,2021-01-01,05:02:20,en,
151,1344871563137589250,2021-01-01,05:02:21,en,
152,1344871566828576768,2021-01-01,05:02:22,en,
153,1344871570867687425,2021-01-01,05:02:23,en,
154,1344871570976739328,2021-01-01,05:02:23,en,
155,1344871571010121728,2021-01-01,05:02:23,en,
156,1344871573178757120,2021-01-01,05:02:24,en,
157,1344871573472178176,2021-01-01,05:02:24,en,
161,1344871576118943744,2021-01-01,05:02:24,en,
162,1344871576127287297,2021-01-01,05:02:24,en,
163,1344871579251920896,2021-01-01,05:02:25,en,
164,1344871580149669894,2021-01-01,05:02:25,en,
165,1344871580849958912,2021-01-01,05:02:26,en,
166,1344871582200713216,2021-01-01,05:02:26,en,
167,1344871582850666497,2021-01-01,05:02:26,en,
168,1344871585337978880,2021-01-01,05:02:27,en,
169,1344871585744883712,2021-01-01,05:02:27,en,
170,1344871585971376129,2021-01-01,05:02:27,en,
172,1344871589142294529,2021-01-01,05:02:28,en,
173,1344871590282944513,2021-01-01,05:02:28,en,
175,1344871591684014082,2021-01-01,05:02:28,en,
176,1344871593353338890,2021-01-01,05:02:29,en,
177,1344871594288701441,2021-01-01,05:02:29,en,
180,1344871598789169152,2021-01-01,05:02:30,en,
183,1344871600349458433,2021-01-01,05:02:30,en,
184,1344871600353472516,2021-01-01,05:02:30,en,
186,1344871603667161090,2021-01-01,05:02:31,en,
187,1344871605063835648,2021-01-01,05:02:31,en,
189,1344871605864980480,2021-01-01,05:02:32,en,
190,1344871606317932545,2021-01-01,05:02:32,en,
191,1344871606548537345,2021-01-01,05:02:32,en,
195,1344871610524737537,2021-01-01,05:02:33,en,
197,1344871614203064322,2021-01-01,05:02:33,en,
198,1344871614224203777,2021-01-01,05:02:33,en,
199,1344871614932942849,2021-01-01,05:02:34,en,
200,1344871615755153411,2021-01-01,05:02:34,en,
201,1344871617546096645,2021-01-01,05:02:34,en,
202,1344871618019958785,2021-01-01,05:02:34,en,
203,1344871619269898240,2021-01-01,05:02:35,en,
204,1344871621455093766,2021-01-01,05:02:35,en,
207,1344871622809948161,2021-01-01,05:02:36,en,
208,1344871627016835073,2021-01-01,05:02:37,en,
211,1344871628228988930,2021-01-01,05:02:37,en,
212,1344871632192593925,2021-01-01,05:02:38,en,
213,1344871635736788992,2021-01-01,05:02:39,en,
214,1344871635988439043,2021-01-01,05:02:39,en,
215,1344871637095772161,2021-01-01,05:02:39,en,
217,1344871639721369602,2021-01-01,05:02:40,en,
219,1344871640220446721,2021-01-01,05:02:40,en,
222,1344871646482604033,2021-01-01,05:02:41,en,
227,1344871651213770752,2021-01-01,05:02:42,en,
228,1344871651788402688,2021-01-01,05:02:42,en,
229,1344871652010717184,2021-01-01,05:02:43,en,
231,1344871653289979905,2021-01-01,05:02:43,en,
233,1344871657090019330,2021-01-01,05:02:44,en,
235,1344871659107282944,2021-01-01,05:02:44,en,
236,1344871660231548928,2021-01-01,05:02:44,en,
238,1344871666678165507,2021-01-01,05:02:46,en,
239,1344871672256425985,2021-01-01,05:02:47,en,
240,1344871675217801216,2021-01-01,05:02:48,en,
241,1344871675851137024,2021-01-01,05:02:48,en,
242,1344871676123738119,2021-01-01,05:02:48,en,
244,1344871677705019393,2021-01-01,05:02:49,en,
247,1344871681412755457,2021-01-01,05:02:50,en,
248,1344871683027513344,2021-01-01,05:02:50,en,
249,1344871684172623874,2021-01-01,05:02:50,en,
253,1344871694779998211,2021-01-01,05:02:53,en,
254,1344871696831029248,2021-01-01,05:02:53,en,
256,1344871697267224577,2021-01-01,05:02:53,en,
258,1344871706532392961,2021-01-01,05:02:56,en,
259,1344871708365352963,2021-01-01,05:02:56,en,
260,1344871709254561794,2021-01-01,05:02:56,en,
262,1344871709741109248,2021-01-01,05:02:56,en,
263,1344871710177304577,2021-01-01,05:02:56,en,
264,1344871711175553024,2021-01-01,05:02:57,en,
266,1344871719152963584,2021-01-01,05:02:59,en,
268,1344871720524517383,2021-01-01,05:02:59,en,
269,1344871720847613952,2021-01-01,05:02:59,en,
270,1344871721153617920,2021-01-01,05:02:59,en,
271,1344871721443201024,2021-01-01,05:02:59,en,
272,1344871722537857025,2021-01-01,05:02:59,en,
275,1344871725083738112,2021-01-01,05:03:00,en,
277,1344871731773652992,2021-01-01,05:03:02,en,
279,1344871733774462978,2021-01-01,05:03:02,en,
280,1344871734806106112,2021-01-01,05:03:02,en,
282,1344871739092819968,2021-01-01,05:03:03,en,
285,1344871741424852993,2021-01-01,05:03:04,en,
288,1344871742196604929,2021-01-01,05:03:04,en,
290,1344871742922059776,2021-01-01,05:03:04,en,
291,1344871742968377350,2021-01-01,05:03:04,en,
292,1344871743803031552,2021-01-01,05:03:04,en,
293,1344871745459793920,2021-01-01,05:03:05,en,
